,series_description,country,year,value,source,nature,age,location,sex
126,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,55,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,0
127,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,184,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,15+,RURAL,1
128,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,51,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,15+,RURAL,0
129,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,203,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,1
130,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,48,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,0
131,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,54,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,10+,ALLAREA,0
132,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,170,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
133,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,149,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,65+,ALLAREA,1
134,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,40,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
135,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,173,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
136,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,55,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
137,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,210,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
138,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,191,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,15+,URBAN,1
139,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,56,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,15+,URBAN,0
140,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,218,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,1
141,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,57,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,0
142,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,42,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,0
143,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,162,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,65+,URBAN,1
144,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,37,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,65+,URBAN,0
145,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,52,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,0
146,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,57,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
147,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,187,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,15+,ALLAREA,1
148,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,53,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,15+,ALLAREA,0
149,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,177,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
150,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,171,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,10+,ALLAREA,1
151,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,158,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,1
152,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,61,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,0
153,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,165,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,1
154,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,55,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,0
155,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,172,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,1
156,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,39,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",RURAL,0
157,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,145,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,65+,RURAL,1
158,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,56,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,65+,RURAL,0
159,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,173,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,10+,URBAN,1
160,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,56,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,10+,URBAN,0
161,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,52,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,65+,ALLAREA,0
162,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,169,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,10+,RURAL,1
163,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,198,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,1
164,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,56,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,0
165,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Cameroon,2014,177,"INS, Cameroun based on Fourth Cameroon Household Survey ECAM 4",C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,1
166,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,126,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,15+,ALLAREA,0
167,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,156,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,1
168,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,102,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",ALLAREA,0
169,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,60,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,0
170,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,156,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,1
171,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,186,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,1
172,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,54,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",URBAN,0
173,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,168,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,15+,URBAN,1
174,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,162,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,0
175,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,210,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",ALLAREA,1
176,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,144,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,0
177,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,192,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",ALLAREA,1
178,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,222,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,65+,ALLAREA,1
179,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,174,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,65+,ALLAREA,0
180,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,78,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,1
181,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,84,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",RURAL,0
182,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,198,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,15+,RURAL,1
183,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,150,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,15+,RURAL,0
184,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,180,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,1
185,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,174,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,15+,ALLAREA,1
186,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,138,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",URBAN,0
187,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,204,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,1
188,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,156,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[55, 56, 57, 58, 59, 60, 61, 62, 63, 64]",URBAN,0
189,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,222,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,65+,URBAN,1
190,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,120,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,15+,URBAN,0
191,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,84,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",ALLAREA,1
192,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,168,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,65+,URBAN,0
193,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,96,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",URBAN,0
194,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,144,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",RURAL,0
195,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Canada,2016,216,Statistics Canada based on General Social Survey 2015-2016 - Cycle 29 - Time Use,C,"[45, 46, 47, 48, 49, 50, 51, 52, 53, 54]",RURAL,1
